Puesto_de_Trabajo,Salario_Promedio_USD,Años_de_Experiencia,Nivel_Educativo,Indice_Exposicion_IA,Factor_Crecimiento_Tecnologico,Probabilidad_Automatizacion_2030,Categoria_Riesgo,Habilidad_1,Habilidad_2,Habilidad_3,Habilidad_4,Habilidad_5,Habilidad_6,Habilidad_7,Habilidad_8,Habilidad_9,Habilidad_10
Guardia de Seguridad,147257,23,Bachillerato,0.91,1.07,0.75,Alto,0.12,0.52,0.55,0.33,0.63,0.07,0.15,0.55,0.06,0.88
Investigador UX,141706,18,Licenciatura,0.67,0.89,0.46,Medio,0.76,0.5,0.73,0.51,0.59,0.76,0.61,0.62,0.79,0.95
Obrero de Construcción,60795,2,Licenciatura,0.58,0.59,0.79,Alto,0.41,0.84,0.51,0.73,0.02,0.46,0.9,0.22,0.03,0.43
Guardia de Seguridad,137729,26,Licenciatura,0.45,0.96,0.87,Alto,0.25,0.75,0.15,0.4,0.66,0.83,0.79,0.72,0.36,0.12
Enfermero/a,59340,5,Bachillerato,0.86,1.36,0.29,Bajo,0.08,0.54,0.65,0.71,0.64,0.77,0.36,0.18,0.2,0.01
Especialista en RRHH,75487,2,Bachillerato,0.09,0.82,0.55,Medio,0.89,0.84,0.25,0.13,0.19,0.97,0.55,0.18,0.84,0.4
Conductor de Camión,123258,17,Maestría,0.26,0.89,0.83,Alto,0.89,0.87,0.57,0.22,0.4,0.98,0.61,0.78,0.45,0.53
Maestro,37160,9,Licenciatura,0.85,1.01,0.17,Bajo,0.34,0.18,0.94,0.32,0.8,0.72,0.79,0.94,0.62,0.9
Investigador UX,43869,7,Bachillerato,0.63,1.27,0.41,Medio,0.74,0.78,0.83,0.31,0.68,0.3,0.74,0.46,0.6,0.42
Obrero de Construcción,142266,20,Maestría,0.18,0.58,0.85,Alto,0.85,0.02,0.07,0.46,0.74,0.16,0.27,0.23,0.4,0.22
Especialista en RRHH,112833,24,Bachillerato,0.34,0.61,0.32,Medio,0.37,0.05,0.1,0.14,0.0,0.15,0.58,0.82,0.19,0.08
Trabajador de Comercio,124538,10,Licenciatura,0.01,1.23,0.73,Alto,0.23,0.12,0.25,0.8,0.13,0.99,0.33,0.92,0.19,0.19
Ingeniero de Software,54608,4,Bachillerato,0.43,0.54,0.36,Medio,0.08,0.59,0.19,0.5,0.37,0.8,0.32,0.46,0.72,0.43
Gerente de Marketing,41367,11,Licenciatura,0.66,0.91,0.5,Medio,0.97,0.66,0.9,0.18,0.48,0.91,0.32,0.97,0.1,0.9
Enfermero/a,123159,22,Doctorado,0.07,1.38,0.11,Bajo,0.02,0.14,0.66,0.98,0.11,0.46,0.18,0.75,0.12,0.24
Obrero de Construcción,138864,11,Licenciatura,0.55,1.37,0.83,Alto,0.06,0.56,0.8,0.13,0.07,0.19,0.75,0.59,0.54,0.25
Guardia de Seguridad,125504,14,Bachillerato,0.97,0.74,0.93,Alto,0.58,0.12,0.47,0.95,0.42,0.86,0.26,0.57,0.84,0.92
Científico de Datos,90302,18,Doctorado,0.64,0.5,0.4,Medio,0.28,0.09,0.28,0.32,0.97,0.67,0.43,0.99,0.15,0.48
Científico Investigador,72722,0,Licenciatura,0.48,1.21,0.1,Bajo,0.74,0.55,0.1,0.56,0.07,0.01,0.89,0.49,0.54,0.28
Trabajador de Comercio,116379,20,Bachillerato,0.17,1.25,0.91,Alto,0.86,0.11,0.56,0.81,0.13,0.1,0.82,0.8,0.45,0.11
Científico de Datos,72412,21,Licenciatura,0.39,1.02,0.48,Medio,0.57,0.73,0.77,0.65,0.2,0.4,0.07,0.45,0.97,0.64
Soporte al Cliente,74956,1,Bachillerato,0.27,0.56,0.75,Alto,0.49,0.34,0.2,0.15,0.66,0.56,0.84,0.18,0.85,0.58
Maestro,108872,16,Bachillerato,0.27,0.89,0.17,Bajo,0.08,0.84,0.12,0.48,0.38,0.51,0.89,0.99,0.02,0.39
Especialista en RRHH,90542,19,Bachillerato,0.33,1.15,0.7,Medio,0.65,0.11,0.84,0.97,0.71,0.42,0.95,0.97,0.94,0.41
Soporte al Cliente,48481,9,Licenciatura,0.65,0.68,0.83,Alto,0.75,0.9,0.86,0.15,0.49,0.48,0.9,0.0,0.74,0.62
Gerente de Marketing,37075,10,Maestría,0.46,1.16,0.69,Medio,0.74,0.07,0.17,0.82,0.33,0.71,0.7,0.99,0.47,0.74
Abogado,100043,26,Maestría,0.46,0.69,0.64,Medio,0.84,0.24,0.32,0.7,0.74,0.66,1.0,0.87,0.42,0.33
Ingeniero de Software,105069,12,Maestría,0.82,0.98,0.6,Medio,0.02,0.93,0.77,0.39,0.38,0.1,0.82,0.77,0.63,0.1
Maestro,82692,9,Bachillerato,0.46,0.77,0.16,Bajo,0.23,0.35,0.65,0.89,0.39,0.69,0.13,0.54,0.92,0.03
Científico de Datos,71918,15,Doctorado,0.13,1.03,0.57,Medio,0.06,0.07,0.87,0.46,0.46,0.94,0.32,0.9,0.97,0.24
Soporte al Cliente,33264,11,Licenciatura,0.53,1.37,0.78,Alto,0.8,0.97,0.84,0.91,0.71,0.9,0.16,0.71,0.73,0.44
Obrero de Construcción,144047,16,Bachillerato,0.43,1.48,0.75,Alto,0.71,0.53,0.82,0.48,0.78,0.93,0.73,0.78,0.07,0.2
Científico Investigador,83433,4,Maestría,0.73,0.99,0.07,Bajo,0.89,0.89,0.32,0.91,0.76,0.4,0.33,0.98,0.71,0.38
Chef,99201,3,Doctorado,0.57,1.02,0.56,Medio,0.54,0.65,0.91,0.99,0.71,0.93,0.86,0.3,0.93,0.07
Ingeniero de Software,145131,19,Bachillerato,0.64,1.03,0.52,Medio,0.79,0.19,0.98,0.44,0.95,0.38,0.6,0.45,0.68,0.18
Enfermero/a,134290,8,Doctorado,0.07,1.1,0.29,Bajo,0.05,0.66,0.78,0.21,0.27,0.2,0.3,0.11,0.37,0.37
Maestro,100779,21,Doctorado,0.8,1.3,0.19,Bajo,0.33,0.41,0.32,0.58,0.94,0.28,0.46,0.66,0.84,0.25
Científico Investigador,100935,5,Doctorado,0.89,0.58,0.2,Bajo,0.86,0.92,0.01,0.37,0.26,0.57,0.63,1.0,0.51,0.55
Médico,59483,25,Bachillerato,0.34,0.56,0.18,Bajo,0.6,0.01,0.1,0.21,0.35,0.54,0.29,0.28,0.87,0.15
Gerente de Marketing,61155,26,Bachillerato,0.95,1.13,0.59,Medio,0.43,0.02,0.65,0.63,0.11,0.46,0.92,0.21,0.46,0.46
Gerente de Marketing,34176,6,Maestría,0.82,1.26,0.45,Medio,0.07,0.35,0.68,0.7,0.97,0.45,0.63,0.54,0.15,0.46
Soporte al Cliente,50746,12,Maestría,0.95,0.87,0.95,Alto,0.54,0.24,0.19,0.14,0.45,0.02,0.45,0.99,0.67,0.76
Médico,104557,18,Maestría,0.47,0.79,0.27,Bajo,0.18,0.46,0.59,0.51,0.83,0.23,0.38,0.79,0.53,0.4
Médico,131242,14,Licenciatura,0.75,1.47,0.21,Bajo,0.86,0.52,0.23,0.01,0.65,0.49,0.78,0.69,0.99,0.51
Ingeniero de Software,116949,11,Bachillerato,0.29,0.98,0.65,Medio,0.04,0.98,0.99,0.6,0.33,0.22,0.28,0.05,0.48,0.06
Científico de Datos,88204,14,Doctorado,0.5,0.84,0.55,Medio,0.84,0.06,0.97,0.1,0.51,0.56,0.14,0.92,0.47,0.14
Médico,45089,4,Doctorado,0.96,0.65,0.29,Bajo,0.09,0.22,0.44,0.99,0.49,0.55,0.69,0.97,0.78,0.22
Maestro,83341,5,Maestría,0.1,1.14,0.1,Bajo,0.26,0.89,0.33,0.57,0.4,0.07,0.36,0.41,0.9,0.32
Obrero de Construcción,126621,13,Bachillerato,0.55,0.88,0.73,Alto,0.77,0.93,0.95,0.67,0.41,0.48,0.66,0.82,0.37,0.92
Trabajador de Comercio,128283,4,Licenciatura,0.53,1.46,0.93,Alto,0.7,0.32,0.22,0.08,0.71,0.5,0.57,0.47,0.48,0.57
Abogado,100446,9,Bachillerato,0.03,1.3,0.46,Medio,0.74,0.95,0.31,0.09,0.23,0.22,0.74,0.06,0.05,0.69
Chef,107413,21,Licenciatura,0.7,0.85,0.48,Medio,0.56,0.69,0.24,0.84,0.72,0.23,0.97,0.66,0.45,0.16
Científico Investigador,106789,20,Doctorado,0.16,0.93,0.15,Bajo,0.72,0.19,0.82,0.33,0.44,0.77,0.63,0.31,0.39,0.31
Chef,86193,3,Bachillerato,0.33,1.23,0.53,Medio,0.15,0.31,0.22,0.39,0.52,0.51,0.75,0.19,0.95,0.34
Chef,102652,16,Bachillerato,0.69,1.31,0.45,Medio,0.75,0.88,0.77,0.03,0.83,0.77,0.67,0.76,0.98,0.43
Mecánico,131038,25,Doctorado,0.58,1.23,0.39,Medio,0.26,0.23,0.69,0.35,0.41,0.71,0.97,0.16,0.06,0.19
Trabajador de Comercio,55143,2,Maestría,0.19,1.08,0.85,Alto,0.29,0.07,0.4,0.19,0.18,0.52,0.67,0.08,0.58,0.25
Analista Financiero,112702,22,Licenciatura,0.81,1.31,0.45,Medio,0.57,0.79,0.06,0.61,0.84,0.37,0.46,0.7,0.07,0.39
Soporte al Cliente,141459,26,Doctorado,0.02,0.7,0.8,Alto,0.2,0.6,0.45,0.04,0.28,0.02,0.36,0.26,0.69,0.31
Diseñador Gráfico,56107,24,Bachillerato,0.73,0.98,0.52,Medio,0.84,0.21,0.99,0.9,0.29,0.89,0.75,0.93,0.69,0.67
Abogado,98402,8,Licenciatura,0.47,0.7,0.43,Medio,0.98,0.09,0.72,0.17,0.01,0.5,0.16,0.97,0.2,0.19
Guardia de Seguridad,36005,14,Bachillerato,0.33,0.52,0.82,Alto,0.51,0.05,0.24,0.83,0.46,0.43,0.7,0.71,0.76,0.83
Médico,81038,25,Licenciatura,0.07,0.88,0.26,Bajo,0.08,0.58,0.7,0.48,0.26,0.33,0.07,0.29,0.04,0.73
Investigador UX,96783,20,Licenciatura,0.63,1.16,0.49,Medio,0.16,0.01,0.34,0.75,0.96,0.43,0.37,0.45,0.43,0.63
Enfermero/a,101020,21,Doctorado,0.78,1.15,0.16,Bajo,0.95,0.71,0.43,0.45,0.82,0.44,0.52,0.29,0.84,0.52
Abogado,95217,16,Licenciatura,0.66,0.78,0.63,Medio,0.31,0.99,0.61,0.84,0.07,0.35,0.74,0.66,0.19,0.36
Investigador UX,97323,19,Licenciatura,0.61,0.84,0.42,Medio,0.21,0.41,0.2,0.96,0.15,0.91,0.43,0.38,0.23,0.64
Maestro,80049,19,Licenciatura,0.47,0.56,0.28,Bajo,0.98,0.43,0.61,0.45,0.32,0.08,0.46,0.82,0.02,0.58
Enfermero/a,48428,2,Maestría,0.22,0.68,0.24,Bajo,0.26,0.19,0.38,0.39,0.87,0.62,0.41,0.53,0.95,0.11
Maestro,85331,27,Bachillerato,0.96,1.46,0.09,Bajo,0.15,0.42,0.05,0.65,0.08,0.06,0.49,0.96,0.43,0.36
Gerente de Marketing,35973,2,Bachillerato,0.53,0.88,0.45,Medio,0.19,0.51,0.44,0.27,0.16,0.31,0.51,0.06,0.15,0.95
Ingeniero de Software,67236,10,Maestría,0.06,1.19,0.32,Medio,0.74,0.75,0.65,0.73,0.09,0.73,0.14,0.34,0.94,0.5
Analista Financiero,112473,25,Doctorado,0.4,1.28,0.56,Medio,0.58,0.9,0.02,0.16,0.62,0.07,0.64,0.98,0.88,0.59
Chef,138480,27,Licenciatura,0.12,0.95,0.47,Medio,0.34,0.0,0.89,0.78,0.65,0.13,0.38,0.92,0.62,0.6
Científico de Datos,73464,27,Maestría,0.56,1.1,0.44,Medio,0.37,0.69,0.32,0.56,0.28,0.17,0.45,0.22,0.9,0.3
Médico,118060,19,Licenciatura,0.26,0.76,0.14,Bajo,0.92,0.39,0.82,0.2,0.05,0.78,0.54,0.5,0.27,0.07
Ingeniero de Software,76905,12,Bachillerato,0.87,0.62,0.67,Medio,0.27,0.53,0.07,0.43,0.13,0.05,0.97,0.73,0.72,0.09
Científico de Datos,101341,15,Bachillerato,0.85,0.51,0.42,Medio,1.0,0.43,0.89,0.33,0.53,0.85,0.61,0.73,0.23,0.16
Guardia de Seguridad,119314,26,Maestría,0.49,1.3,0.79,Alto,0.56,0.8,0.24,0.88,0.95,0.04,0.06,0.09,0.78,0.19
Soporte al Cliente,109455,26,Doctorado,0.44,1.34,0.9,Alto,0.96,0.25,0.23,0.03,0.41,0.46,0.96,0.83,0.17,0.8
Ingeniero de Software,96951,6,Maestría,0.08,1.34,0.69,Medio,0.09,0.81,0.86,0.12,0.28,0.73,0.81,0.35,0.16,0.65
Ingeniero de Software,44057,5,Bachillerato,0.5,0.64,0.64,Medio,0.65,0.87,0.93,0.81,0.96,0.95,0.62,0.73,0.7,0.62
Trabajador de Comercio,60185,28,Bachillerato,0.36,0.6,0.78,Alto,0.07,0.92,0.45,0.19,0.58,0.2,0.8,0.31,0.31,0.87
Científico de Datos,63797,24,Licenciatura,0.68,0.79,0.31,Medio,0.2,0.4,0.17,0.19,0.39,0.96,0.76,0.32,0.95,0.65
Especialista en RRHH,52792,6,Bachillerato,0.47,0.91,0.39,Medio,0.39,0.53,0.53,0.76,0.36,0.72,0.58,0.96,0.39,0.9
Ingeniero de IA,136827,15,Bachillerato,0.64,1.15,0.07,Bajo,0.95,0.11,0.56,0.33,0.43,0.61,0.91,0.46,0.99,0.59
Enfermero/a,34134,12,Doctorado,0.19,1.22,0.06,Bajo,0.48,0.15,0.43,0.75,0.46,0.16,0.25,0.37,0.07,0.58
Guardia de Seguridad,117463,19,Bachillerato,0.06,0.9,0.8,Alto,0.33,0.56,0.35,0.42,0.8,0.16,0.62,0.51,0.31,0.73
Ingeniero de IA,74597,12,Bachillerato,0.48,1.17,0.25,Bajo,0.97,0.63,0.87,0.0,0.53,0.21,0.09,0.53,0.75,0.41
Especialista en RRHH,40603,24,Bachillerato,0.49,0.94,0.42,Medio,0.38,0.35,0.65,0.12,0.09,0.66,0.55,0.43,0.15,0.41
Maestro,106968,22,Maestría,0.7,0.56,0.22,Bajo,0.24,0.32,0.2,0.78,0.65,0.61,0.67,0.24,0.44,0.63
Diseñador Gráfico,149700,26,Doctorado,0.79,0.79,0.61,Medio,0.44,0.67,0.46,0.95,0.18,0.68,0.58,0.17,0.07,0.8
Médico,77890,26,Bachillerato,0.19,1.48,0.23,Bajo,0.25,0.59,0.53,0.84,0.73,0.83,0.21,0.64,0.04,0.07
Científico Investigador,141930,5,Licenciatura,0.02,1.08,0.26,Bajo,0.38,0.04,0.71,0.93,0.72,0.58,0.23,0.02,0.69,0.23
Analista Financiero,65976,2,Licenciatura,0.47,1.03,0.6,Medio,0.78,0.64,0.94,0.98,0.95,0.82,0.71,0.66,0.1,0.27
Gerente de Marketing,81356,7,Bachillerato,0.14,0.94,0.36,Medio,0.9,0.81,0.07,0.25,0.82,0.8,0.95,1.0,0.98,0.41
Enfermero/a,129928,0,Licenciatura,0.76,0.8,0.25,Bajo,0.53,0.79,0.28,0.51,0.56,0.94,0.27,0.94,0.8,0.73
Conductor de Camión,51625,1,Licenciatura,0.61,0.74,0.75,Alto,0.87,0.73,0.21,0.62,0.45,0.16,0.53,0.28,0.1,0.47
Chef,118760,20,Bachillerato,0.05,0.9,0.4,Medio,0.03,0.13,0.14,0.18,0.8,0.44,0.15,0.1,0.3,0.8
Ingeniero de Software,111299,27,Bachillerato,0.16,0.9,0.52,Medio,0.03,0.63,0.4,0.01,0.67,0.71,0.63,0.34,0.53,0.39
Investigador UX,94535,1,Bachillerato,0.7,0.71,0.41,Medio,0.57,0.45,0.74,0.38,0.86,0.43,0.04,0.02,0.65,0.54
Conductor de Camión,116030,1,Maestría,0.79,0.88,0.95,Alto,0.95,0.01,0.9,0.68,0.5,0.58,0.84,0.95,0.56,0.18
Guardia de Seguridad,90127,24,Doctorado,0.08,1.14,0.9,Alto,0.35,0.07,0.69,0.34,0.25,0.69,0.97,0.75,0.49,0.6
Ingeniero de Software,55577,7,Bachillerato,0.81,1.1,0.69,Medio,0.98,0.35,0.99,0.96,0.64,0.33,0.75,0.27,0.63,0.02
Obrero de Construcción,82573,24,Bachillerato,0.95,0.74,0.89,Alto,0.29,0.71,0.7,0.18,0.6,0.86,0.38,0.71,0.67,0.26
Médico,44703,3,Doctorado,0.56,0.86,0.09,Bajo,0.47,0.73,0.62,0.73,0.79,0.44,0.52,0.99,0.97,0.41
Analista Financiero,66003,2,Bachillerato,0.77,1.15,0.42,Medio,0.49,0.04,0.19,0.42,0.83,0.48,0.59,0.87,0.31,0.7
Científico Investigador,44756,11,Bachillerato,0.2,0.86,0.29,Bajo,0.98,0.22,0.07,0.27,0.4,0.44,0.62,0.9,0.33,0.85
Diseñador Gráfico,45380,20,Licenciatura,0.04,1.0,0.32,Medio,0.39,0.9,0.24,0.71,0.3,0.04,0.56,0.83,0.41,0.62
Conductor de Camión,139044,6,Bachillerato,0.19,1.23,0.83,Alto,0.75,0.49,0.13,0.57,0.49,0.52,0.88,0.89,0.45,0.46
Científico de Datos,114705,29,Maestría,0.52,1.45,0.56,Medio,0.28,0.53,0.63,0.64,0.59,0.18,0.03,0.34,0.43,0.06
Enfermero/a,141375,16,Doctorado,0.34,1.41,0.09,Bajo,0.06,0.48,0.19,0.94,0.01,0.41,0.93,0.38,0.09,0.3
Obrero de Construcción,135454,16,Doctorado,0.19,0.97,0.91,Alto,0.87,0.05,0.16,0.28,0.59,0.36,0.84,0.72,0.1,0.62
Científico Investigador,55903,23,Maestría,0.26,0.68,0.09,Bajo,0.62,0.56,0.18,0.99,0.42,0.1,0.12,0.58,0.98,0.57
Trabajador de Comercio,55036,21,Bachillerato,0.44,0.94,0.83,Alto,0.7,0.37,0.86,0.03,0.44,0.51,0.61,0.28,0.43,0.48
Analista Financiero,117309,8,Doctorado,0.77,1.24,0.44,Medio,1.0,0.85,0.26,0.2,0.31,0.45,0.85,0.78,0.85,0.27
Ingeniero de Software,100412,21,Licenciatura,0.28,0.61,0.57,Medio,0.14,0.67,0.65,0.81,0.14,0.78,1.0,0.85,0.75,0.66
Analista Financiero,32414,16,Licenciatura,0.84,1.04,0.6,Medio,0.79,0.51,0.54,0.2,0.24,0.9,0.84,0.01,0.87,0.03
Mecánico,140419,14,Doctorado,0.29,0.98,0.46,Medio,0.93,0.04,0.68,0.85,0.96,0.18,0.53,0.04,0.5,0.13
Científico Investigador,55976,17,Maestría,0.11,1.01,0.18,Bajo,0.97,0.65,0.29,0.24,0.13,0.76,0.69,0.61,0.04,0.76
Médico,78787,25,Maestría,0.96,1.09,0.13,Bajo,0.38,0.18,0.72,0.71,0.2,0.16,0.08,0.91,0.23,0.34
Guardia de Seguridad,104918,4,Bachillerato,0.41,1.21,0.92,Alto,0.18,0.69,0.35,0.98,0.3,0.01,0.52,0.15,0.04,0.7
Trabajador de Comercio,118121,25,Maestría,0.46,1.18,0.83,Alto,0.63,0.6,0.67,0.2,0.27,0.44,0.45,0.77,0.37,0.16
Conductor de Camión,34847,10,Doctorado,0.21,1.23,0.82,Alto,0.71,0.42,0.89,0.98,0.67,0.86,0.51,0.93,0.83,0.99
Trabajador de Comercio,100182,12,Doctorado,0.78,1.04,0.76,Alto,0.35,0.89,0.06,0.59,0.37,0.39,0.88,0.85,0.6,0.27
Ingeniero de Software,128757,14,Doctorado,0.41,0.85,0.34,Medio,0.54,0.3,0.66,0.32,0.43,0.05,0.99,0.51,0.02,0.54
Investigador UX,129584,7,Licenciatura,0.77,1.2,0.36,Medio,0.66,0.77,0.57,0.89,0.28,0.24,0.87,0.63,0.0,0.35
Obrero de Construcción,59476,5,Maestría,0.03,0.5,0.77,Alto,0.91,0.9,0.52,0.55,0.33,0.24,0.82,0.11,0.49,0.63
Científico Investigador,81880,3,Maestría,0.52,1.08,0.24,Bajo,0.23,0.29,0.57,0.98,0.22,0.99,0.71,0.83,0.09,0.3
Ingeniero de IA,148283,25,Licenciatura,0.37,1.48,0.08,Bajo,0.56,0.01,0.71,0.2,0.13,0.34,0.77,0.11,0.23,0.01
Abogado,32393,24,Doctorado,0.59,1.22,0.56,Medio,0.14,0.59,0.13,0.4,0.57,0.56,0.12,0.03,0.8,0.73
Trabajador de Comercio,35481,1,Bachillerato,0.13,1.39,0.89,Alto,1.0,0.25,0.49,0.24,0.62,0.12,0.13,0.07,0.69,0.49
Científico de Datos,137033,28,Licenciatura,0.88,1.24,0.48,Medio,0.98,0.46,0.11,0.99,0.02,0.55,0.31,0.5,0.56,0.24
Ingeniero de IA,49361,20,Maestría,0.68,1.34,0.17,Bajo,0.83,0.78,0.67,0.45,0.27,0.86,0.65,0.8,0.55,0.17
Maestro,59146,9,Licenciatura,0.04,1.43,0.1,Bajo,0.91,0.06,0.95,0.2,0.3,0.49,0.38,0.67,0.97,0.61
Analista Financiero,113102,26,Doctorado,0.75,1.34,0.67,Medio,0.58,0.78,0.49,0.04,0.16,0.13,0.17,0.01,0.86,0.56
Investigador UX,37769,22,Doctorado,0.41,0.96,0.33,Medio,0.27,0.85,0.74,0.56,0.48,0.26,0.47,0.6,0.71,0.17
Soporte al Cliente,126939,9,Bachillerato,0.5,1.11,0.82,Alto,0.57,0.11,0.43,0.28,0.09,0.19,0.6,0.2,0.18,0.55
Trabajador de Comercio,68226,11,Doctorado,0.79,1.41,0.85,Alto,0.41,0.73,0.26,0.08,0.34,0.3,0.68,0.55,0.14,0.91
Soporte al Cliente,99516,21,Doctorado,0.46,1.44,0.72,Alto,0.79,0.36,0.7,0.93,0.52,0.02,0.03,0.33,0.78,0.29
Guardia de Seguridad,143645,26,Licenciatura,0.78,0.62,0.91,Alto,0.27,0.05,0.12,0.95,0.45,0.26,0.52,0.68,0.32,0.73
Diseñador Gráfico,134230,21,Maestría,0.11,1.05,0.36,Medio,0.94,0.0,0.76,0.28,0.85,0.06,0.95,0.1,0.79,0.52
Abogado,53167,22,Bachillerato,0.28,1.34,0.38,Medio,0.72,0.45,1.0,0.61,0.1,0.42,0.07,0.29,0.34,0.85
Investigador UX,52772,29,Doctorado,0.01,1.03,0.39,Medio,0.32,0.02,0.75,0.95,0.22,0.34,0.21,0.93,0.01,0.58
Maestro,55354,29,Licenciatura,0.19,1.09,0.06,Bajo,0.81,0.27,0.99,0.92,0.73,0.5,0.77,0.13,0.31,0.03
Abogado,51942,7,Licenciatura,0.81,1.45,0.57,Medio,0.73,0.9,0.94,0.49,0.11,0.47,0.56,0.63,0.99,0.92
Especialista en RRHH,38152,6,Bachillerato,0.11,0.71,0.37,Medio,0.36,0.88,0.44,0.57,0.18,0.49,0.87,0.77,0.08,0.86
Diseñador Gráfico,134753,3,Maestría,0.67,0.65,0.57,Medio,0.04,0.6,0.65,0.24,0.94,0.05,0.89,0.38,0.71,0.65
Especialista en RRHH,42061,5,Bachillerato,0.32,1.03,0.64,Medio,0.95,0.02,0.35,0.67,0.53,0.94,0.02,0.44,0.67,0.22
Especialista en RRHH,76350,12,Bachillerato,0.08,0.95,0.57,Medio,0.27,0.07,0.96,0.91,0.93,0.98,0.18,0.16,0.03,0.89
Analista Financiero,99828,27,Licenciatura,0.63,1.43,0.53,Medio,0.13,0.18,0.13,0.31,0.38,0.8,0.19,0.73,0.49,1.0
Diseñador Gráfico,37084,11,Licenciatura,0.97,0.84,0.35,Medio,0.51,0.12,0.49,0.27,0.49,0.95,0.29,0.99,0.23,0.21
Chef,112617,26,Bachillerato,0.84,1.25,0.59,Medio,0.28,0.02,0.16,0.35,0.97,0.92,0.2,0.73,0.58,0.05
Guardia de Seguridad,36486,5,Licenciatura,0.07,0.61,0.86,Alto,0.76,0.32,0.49,0.95,0.95,0.31,0.81,0.59,0.98,0.48
Ingeniero de Software,107925,19,Doctorado,0.77,1.0,0.62,Medio,0.26,0.12,0.43,0.94,0.5,0.64,0.62,0.13,0.39,0.71
Mecánico,52474,27,Maestría,0.17,0.91,0.34,Medio,0.24,0.38,0.54,0.23,0.23,0.78,0.96,0.32,0.69,0.26
Conductor de Camión,48274,11,Licenciatura,0.67,1.3,0.71,Alto,0.6,0.53,0.29,0.26,0.58,0.71,0.03,0.57,0.17,0.14
Gerente de Marketing,79696,28,Doctorado,0.31,0.94,0.44,Medio,0.65,0.47,0.96,0.35,0.74,0.26,0.51,0.55,0.33,0.47
Investigador UX,82736,21,Doctorado,0.01,0.72,0.58,Medio,0.77,0.28,0.41,0.04,0.24,0.78,0.61,0.21,0.26,0.82
Médico,65539,9,Licenciatura,0.33,1.16,0.19,Bajo,0.46,0.9,0.22,0.74,0.16,0.62,0.87,0.46,0.72,0.82
Gerente de Marketing,71135,9,Licenciatura,0.71,1.42,0.53,Medio,0.19,0.13,0.26,0.1,0.51,0.07,0.22,0.44,0.47,0.57
Abogado,107487,3,Licenciatura,0.05,0.58,0.32,Medio,0.42,0.04,0.75,0.22,0.94,0.49,0.45,0.78,0.71,0.61
Investigador UX,146298,6,Licenciatura,0.64,1.04,0.54,Medio,0.68,0.17,0.3,0.74,0.16,0.34,0.67,0.94,0.08,0.52
Chef,144571,22,Maestría,0.38,0.68,0.56,Medio,0.76,0.25,0.71,0.45,0.28,0.52,0.38,0.23,0.76,0.8
Ingeniero de Software,112753,1,Maestría,0.38,0.67,0.64,Medio,0.33,0.75,0.82,0.77,0.39,0.94,0.66,0.58,0.7,0.04
Ingeniero de Software,81716,26,Maestría,0.88,0.66,0.47,Medio,0.41,0.36,0.56,1.0,0.26,0.7,0.76,0.58,0.1,0.57
Ingeniero de IA,46250,19,Doctorado,0.34,1.14,0.29,Bajo,0.8,0.69,0.97,0.17,0.77,0.41,0.36,0.52,0.03,0.31
Médico,102006,17,Licenciatura,0.14,0.84,0.25,Bajo,0.2,0.53,0.75,0.24,0.92,0.87,0.25,0.99,0.67,0.29
Médico,60837,5,Maestría,0.67,1.11,0.23,Bajo,0.27,0.98,0.86,0.75,0.03,0.59,0.71,0.85,0.95,0.92
Científico de Datos,66742,3,Bachillerato,0.6,0.97,0.43,Medio,0.37,0.37,0.97,0.23,0.82,0.71,0.01,0.99,0.76,0.68
Diseñador Gráfico,119131,10,Doctorado,0.56,0.75,0.31,Medio,0.84,0.9,0.16,0.79,0.74,0.18,0.42,0.42,0.76,0.84
Mecánico,107497,29,Doctorado,0.56,1.26,0.61,Medio,0.15,0.53,0.86,0.32,0.43,0.8,0.09,0.86,0.31,0.0
Especialista en RRHH,57788,14,Doctorado,0.68,0.82,0.35,Medio,0.62,0.22,0.68,0.84,0.12,0.44,0.44,0.63,0.33,0.42
Mecánico,64712,19,Doctorado,0.65,0.78,0.62,Medio,0.67,0.65,0.42,0.96,0.27,0.58,0.31,0.74,0.05,0.05
Analista Financiero,68319,6,Maestría,0.43,0.84,0.54,Medio,0.7,0.2,0.19,0.96,0.59,0.39,0.8,0.53,0.24,0.21
Trabajador de Comercio,67289,22,Doctorado,0.86,0.56,0.75,Alto,0.89,0.12,0.63,0.21,0.61,0.38,0.1,0.58,0.68,0.68
Investigador UX,75040,4,Maestría,0.5,1.02,0.55,Medio,0.69,0.65,0.59,0.16,0.21,0.26,0.92,0.76,0.55,0.25
Conductor de Camión,120886,1,Licenciatura,0.9,1.39,0.73,Alto,0.8,0.45,0.32,0.74,0.61,0.78,0.07,0.32,0.32,0.33
Analista Financiero,64118,5,Doctorado,0.28,0.94,0.45,Medio,0.74,0.6,0.65,0.21,0.33,0.02,0.11,0.27,0.07,0.6
Diseñador Gráfico,125381,13,Bachillerato,0.1,1.32,0.35,Medio,0.67,0.64,0.9,0.11,0.32,0.09,0.41,0.91,0.78,0.72
Soporte al Cliente,62146,26,Maestría,0.88,0.95,0.74,Alto,0.84,0.28,0.05,0.13,0.61,0.61,0.26,0.73,0.77,0.92
Analista Financiero,60410,8,Doctorado,0.78,1.25,0.4,Medio,0.31,0.48,0.02,0.3,0.47,0.11,0.13,0.46,0.73,0.83
